date,panel,media_clicks_clara_dv360,media_clicks_clara_google,media_clicks_clara_linkedin,media_clicks_clara_meta,media_impressions_clara_dv360,media_impressions_clara_google,media_impressions_clara_linkedin,media_impressions_clara_meta,spends_clara_dv360,spends_clara_google,spends_clara_linkedin,spends_clara_meta,response_metric_inbound_deals_total,response_metric_inbound_signups_total
01-01-2024,aggregated,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-01-2024,aggregated,0,8830,732,0,0,266359,101388,0,0,5170.87,513.03,0,65,83
15-01-2024,aggregated,0,6251,236,0,0,200587,44070,0,0,4795.38,399.55,0,96,141
22-01-2024,aggregated,0,7223,185,0,0,348838,27347,0,0,4580.15,299.73,0,86,158
29-01-2024,aggregated,0,9929,143,0,0,383544,19322,0,0,4219.64,267.79,0,78,100
05-02-2024,aggregated,0,5448,137,0,0,321836,23239,0,0,4180.23,313.16,0,55,105
12-02-2024,aggregated,0,5701,161,0,0,275131,28833,0,0,5518.95,460.38,0,123,187
19-02-2024,aggregated,0,5438,252,0,0,263544,46972,0,0,5349.3,625.08,0,141,190
26-02-2024,aggregated,0,6040,159,0,0,193201,34416,0,0,5061.17,489.65,0,101,144
04-03-2024,aggregated,0,6553,279,0,0,309377,54279,0,0,4696.94,627.3,0,118,188
11-03-2024,aggregated,0,6313,216,0,0,281847,47290,0,0,5855.23,540.85,0,161,223
18-03-2024,aggregated,0,4180,1837,0,0,236777,268855,0,0,5243.49,1192.2,0,116,165
25-03-2024,aggregated,0,4814,1813,0,0,295663,288918,0,0,5951.42,2125.4,0,112,155
01-04-2024,aggregated,0,6212,1869,0,0,355158,270966,0,0,4860.91,2176.61,0,78,126
08-04-2024,aggregated,0,8165,972,0,0,530850,149442,0,0,6598.58,1252.16,0,101,195
15-04-2024,aggregated,0,4884,408,0,0,313744,75689,0,0,5972.17,802.51,0,106,201
22-04-2024,aggregated,0,4765,216,0,0,313866,40032,0,0,4629.11,526.43,0,99,163
29-04-2024,aggregated,0,4715,245,0,0,261653,41119,0,0,4559.94,462.51,0,79,144
06-05-2024,aggregated,0,6066,318,0,0,474776,51701,0,0,5708.15,489.95,0,78,135
13-05-2024,aggregated,0,5045,522,0,0,412374,86621,0,0,6135.3,759.99,0,81,133
20-05-2024,aggregated,0,4975,648,0,0,411275,107059,0,0,5956.59,987.17,0,100,133
27-05-2024,aggregated,0,4142,552,0,0,365770,89778,0,0,5208.13,902.32,0,94,131
03-06-2024,aggregated,0,4848,579,0,0,532647,83036,0,0,4635.28,844.34,0,88,128
10-06-2024,aggregated,0,5604,602,246,0,480368,114557,39162,0,4798.67,841.71,184.13,83,115
17-06-2024,aggregated,0,6513,467,273,0,570994,94091,57617,0,6530.99,1012.37,245.29,83,114
24-06-2024,aggregated,0,5696,511,253,0,437897,97225,58612,0,6254.01,996.57,244.82,87,116
01-07-2024,aggregated,0,4082,409,279,0,368123,86421,66699,0,5216.12,967.43,242.93,82,132
08-07-2024,aggregated,0,4567,427,510,0,388564,83973,125693,0,5297.77,811.59,482.18,95,110
15-07-2024,aggregated,0,4142,341,461,0,477133,74401,113580,0,5824.77,703.19,516.54,93,107
22-07-2024,aggregated,0,4394,485,494,0,385272,80081,91257,0,6217.22,732.84,522.13,78,108
29-07-2024,aggregated,0,4494,418,544,0,232671,82058,95859,0,5452.22,833.54,519.24,71,102
05-08-2024,aggregated,0,4326,261,718,0,216857,64387,153221,0,6007.28,773.27,590.08,65,87
12-08-2024,aggregated,0,4099,252,1093,0,271019,62745,246870,0,6752.31,738.57,606.71,91,112
19-08-2024,aggregated,0,4073,285,2120,0,329080,72545,429998,0,6236.32,681.27,612.16,79,98
26-08-2024,aggregated,0,3819,256,2127,0,260753,58066,358130,0,6364.51,672.79,604.7,71,127
02-09-2024,aggregated,0,4678,271,9555,0,259557,60579,674331,0,5975.63,824.39,605.18,74,95
09-09-2024,aggregated,0,4964,210,23322,0,255175,52451,955128,0,6654.03,766.26,609.87,78,117
16-09-2024,aggregated,0,5626,197,12693,0,236680,44313,601906,0,5526.44,683.92,598.03,76,99
23-09-2024,aggregated,0,9719,316,6091,0,295961,82742,879503,0,8855.34,1053.38,2858.64,119,163
30-09-2024,aggregated,212,8825,243,5304,20898,505395,65913,504326,30.16,12521.2,859.35,2378.07,109,159
07-10-2024,aggregated,1392,8482,341,3917,126165,620693,93084,411143,181.28,11888.65,1129.81,1961.93,109,171
14-10-2024,aggregated,1101,29071,315,3065,151736,772494,61773,319984,213.27,8324.78,769.45,1790.15,100,167
21-10-2024,aggregated,1884,30470,199,2665,366217,809359,49665,302601,362.41,7752.43,639.72,1662.51,73,125
28-10-2024,aggregated,1520,21170,414,3084,487079,1162875,86875,264401,424.48,15263.81,1252.45,1708.15,112,175
04-11-2024,aggregated,1336,11126,470,3363,463601,648836,98262,294229,419.03,15838.81,1901.24,1895.04,103,149
11-11-2024,aggregated,1402,18129,84,2327,424701,717383,13338,189841,426.49,8002.18,111.06,1279.9,95,157
18-11-2024,aggregated,797,11398,419,3177,319603,902111,88628,236572,425.01,8109.99,707.33,2180.83,81,137
25-11-2024,aggregated,914,13861,429,4150,347627,1116535,90347,311863,422.85,11027.12,793.32,2341.38,88,158
02-12-2024,aggregated,829,11314,494,2945,315156,735026,101595,242370,373.46,10720.54,797.53,2082.22,104,147
09-12-2024,aggregated,713,7766,356,845,279764,514923,73970,69101,272.96,6674,660.97,516.97,93,130
16-12-2024,aggregated,718,4732,346,1353,262914,223316,67015,118253,269.96,4115.77,662.62,822.29,70,109
23-12-2024,aggregated,601,4244,516,2124,239693,232142,98045,156806,285.73,3883.1,1135,1033.46,64,110
30-12-2024,aggregated,757,5654,393,1703,273381,264492,75148,131447,315.94,4058.47,723.35,832.56,39,66
06-01-2025,aggregated,2315,6280,262,1529,401401,302377,42732,122446,375.34,4391.34,351.79,629.13,69,93
13-01-2025,aggregated,2305,14343,3181,4621,457305,982480,523991,452814,419.82,9317.28,3866.91,2447.72,111,180
20-01-2025,aggregated,711,18490,3080,9846,138610,1683622,519555,1055881,128.31,14353.85,5175.8,6274.91,124,254
27-01-2025,aggregated,0,15693,2517,5140,0,1747435,342301,566952,0,12989.39,4094.05,3814.46,113,190
03-02-2025,aggregated,2546,11656,2277,1996,285907,1453260,228894,203012,384.23,4740.56,2311.78,1300.38,109,143
10-02-2025,aggregated,3132,25975,2367,4162,349372,2195928,201685,487878,388.77,15973.81,1628.98,3692.7,133,288
17-02-2025,aggregated,2530,15950,2900,7790,270557,2090817,187417,947564,407.97,17093.09,1590.9,7025.69,122,206
24-02-2025,aggregated,1937,9902,2087,1388,250738,1225632,151214,176530,405.88,15009.91,1457.99,1046.17,114,178
03-03-2025,aggregated,2483,6475,2003,1946,245791,689703,146904,204367,401.45,8072.57,1243.75,1505.34,140,147
10-03-2025,aggregated,2526,8526,2189,1783,265061,1218759,194453,208213,404.22,10804.96,1469.06,1503.83,130,149
17-03-2025,aggregated,2089,18516,735,4816,211009,2842245,143038,607224,413.06,17133.64,1461.5,5276.25,113,179
24-03-2025,aggregated,1904,12960,3636,5869,212230,1694074,228248,817892,415.4,17236.09,2248.58,6136.04,139,230
31-03-2025,aggregated,1735,9799,1564,2884,200737,1005766,139745,427361,416.69,10034.56,1435.37,3066.44,110,147
07-04-2025,aggregated,2584,20869,1515,4203,237904,1773334,115816,526037,454.18,12143.52,1094.63,3354.1,142,185
14-04-2025,aggregated,3116,16406,1254,4057,252873,1801908,115660,472597,446.25,14219.4,1110.08,3431.41,121,186
21-04-2025,aggregated,2946,13675,1678,3983,258159,1561653,122574,443104,451.11,14766.83,1124.09,3329.01,103,148
28-04-2025,aggregated,2369,17203,1583,5409,215256,2332306,101892,743699,464.69,16036.41,1130.71,4807.62,120,164
05-05-2025,aggregated,0,18591,1779,4527,5,3109424,116400,700171,0.01,16814.98,1110.97,4899.45,84,142
12-05-2025,aggregated,0,17668,1646,5341,0,2982587,139749,763278,0,18019.41,1185.87,4846.13,123,173
19-05-2025,aggregated,0,29560,3298,6216,0,6968917,112899,883414,0,19966.24,1884.46,5723.08,142,246
26-05-2025,aggregated,0,44596,10018,4358,0,3644920,214785,519168,0,19553.76,4063.42,4171.34,135,242
02-06-2025,aggregated,2245,45511,7246,4877,367176,2033437,195617,526331,550.74,20007.29,3950.7,4462.47,121,265
09-06-2025,aggregated,2125,36483,4197,4218,492844,2166087,143135,406842,946.43,19783.25,2757.55,3044.62,103,232
16-06-2025,aggregated,1958,13811,165,2858,411871,1163981,38543,320466,964.39,15251.04,1172.99,2944.69,119,233
23-06-2025,aggregated,2281,29227,529,6753,432937,2335104,69288,921075,967.2,20359.43,2540.35,7591.15,153,335
30-06-2025,aggregated,2414,32597,976,6451,577643,2176926,103495,796057,1286.15,21916.4,4887.49,5072.52,184,373
07-07-2025,aggregated,2366,15602,666,3910,493706,1439345,68438,391434,989.09,15044.14,2208.82,2274.3,110,214
14-07-2025,aggregated,1703,22055,543,4021,345367,2871840,67656,446941,964.84,20990.5,2078.83,3168.02,132,274
21-07-2025,aggregated,1400,12218,441,5852,361101,1492898,72202,461622,961.03,13024.17,1920.01,2927.38,158,271
28-07-2025,aggregated,1495,8537,369,4430,358351,981217,57945,373106,932.23,10221.98,767.44,2321.22,157,239
04-08-2025,aggregated,638,3700,151,1527,159823,358460,27264,141580,404.64,4172.54,347.97,824.79,71,114
